id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0,0.75,0.81,5,227,5,0,1,0,technical,medium
1,0.13,0.91,2,149,5,0,0,0,sales,medium
2,0.67,0.74,3,226,3,0,0,0,product_mng,low
3,0.52,0.43,2,199,2,0,0,0,sales,medium
4,0.1,0.77,7,291,4,0,1,0,accounting,low
5,0.97,0.78,3,268,3,1,0,0,technical,low
6,0.82,0.74,3,229,7,0,0,1,management,high
7,0.72,0.84,5,257,5,0,1,0,technical,medium
8,0.49,0.99,4,258,3,1,0,0,sales,low
9,0.63,0.71,4,244,2,0,0,0,support,low
10,0.89,1.0,4,217,5,0,1,0,sales,medium
11,0.1,0.93,6,253,4,0,1,0,IT,medium
12,0.86,0.96,5,238,5,0,0,0,technical,low
13,0.87,0.91,4,228,5,0,1,0,sales,low
14,0.77,0.85,4,189,2,0,0,0,sales,low
15,0.57,0.75,5,171,4,0,0,0,support,medium
16,0.73,0.98,5,272,2,0,0,0,marketing,low
17,0.5,0.64,2,170,8,0,0,0,sales,low
18,0.92,0.67,3,149,3,0,0,0,sales,low
19,0.53,0.99,3,223,10,0,0,0,marketing,low
20,0.8,0.68,3,160,3,0,0,0,RandD,low
21,0.77,0.82,3,153,3,1,0,0,technical,medium
22,0.82,0.5,3,198,4,0,0,0,IT,medium
23,0.81,0.51,4,271,2,0,0,0,sales,low
24,0.54,0.74,4,164,2,0,1,0,sales,low
25,0.36,0.73,2,111,2,0,0,0,sales,low
26,0.59,0.51,3,156,3,0,0,0,product_mng,medium
27,0.65,0.86,4,269,2,1,0,0,hr,medium
28,0.1,0.94,6,285,4,0,1,0,support,medium
29,0.98,0.88,5,232,3,0,0,0,marketing,low
30,0.72,0.85,5,244,6,0,1,0,sales,low
31,0.39,0.47,2,131,3,0,1,0,technical,low
32,0.4,0.46,2,130,3,0,1,0,sales,low
33,0.26,0.45,2,157,3,0,0,0,accounting,medium
34,0.9,0.88,4,174,3,0,0,0,RandD,low
35,0.91,0.57,4,145,3,0,0,0,marketing,medium
36,0.71,0.96,3,132,2,0,0,0,support,medium
37,0.57,0.9,5,145,3,0,0,0,accounting,low
38,0.32,0.97,6,272,2,0,0,0,sales,low
39,0.45,0.57,2,136,3,0,1,0,sales,low
40,0.2,0.9,5,228,6,0,0,0,sales,medium
41,0.62,0.68,3,124,3,0,0,0,sales,medium
42,0.84,0.62,5,245,4,0,0,0,technical,medium
43,0.88,0.62,4,138,3,0,0,0,technical,medium
44,0.15,0.44,3,199,2,0,0,0,management,low
45,0.8,0.58,3,197,3,0,0,0,support,medium
46,0.55,0.93,5,196,3,0,0,0,IT,medium
47,0.21,0.61,6,159,5,1,0,0,accounting,medium
48,0.1,0.83,6,283,5,0,1,0,support,medium
49,0.2,0.98,4,166,4,1,0,0,sales,medium
50,0.9,0.48,4,204,3,0,0,0,technical,medium
51,0.72,0.92,3,242,8,0,0,0,sales,medium
52,0.56,0.71,5,243,3,0,0,0,technical,medium
53,0.77,0.71,3,134,3,0,0,0,marketing,medium
54,0.95,0.84,3,240,7,0,0,0,sales,medium
55,0.83,0.87,5,233,3,0,0,0,sales,low
56,0.84,0.4,4,246,3,0,0,0,sales,low
57,0.47,0.5,4,159,2,0,0,0,product_mng,low
58,0.49,0.49,3,168,7,0,0,0,sales,low
59,0.34,0.46,2,169,2,1,0,0,support,low
60,0.48,0.77,5,250,2,0,0,1,RandD,medium
61,0.09,0.8,7,283,5,0,1,0,technical,low
62,0.46,0.57,2,139,3,0,1,0,sales,low
63,0.5,0.73,3,154,10,0,0,0,IT,medium
64,0.62,0.62,4,136,2,0,0,0,sales,medium
65,0.76,0.99,5,252,3,1,0,0,sales,low
66,0.84,0.86,5,240,5,0,1,0,accounting,medium
67,0.54,0.9,3,164,3,0,0,0,technical,high
68,0.72,0.66,3,256,2,0,0,0,IT,medium
69,0.11,0.96,7,277,5,0,1,0,sales,low
70,0.68,0.61,4,147,3,0,0,0,accounting,medium
71,0.75,0.83,4,229,2,0,0,0,IT,medium
72,0.88,0.84,3,266,3,0,0,0,accounting,low
73,0.4,0.46,2,127,3,0,1,0,technical,low
74,0.83,0.93,3,247,2,0,0,0,hr,low
75,0.67,0.55,4,256,6,0,0,0,hr,low
76,0.71,0.77,2,255,3,0,0,0,support,medium
77,0.11,0.8,6,285,4,0,1,0,accounting,medium
78,0.79,0.5,5,176,3,0,0,0,support,high
79,0.8,0.67,3,178,3,0,0,0,IT,low
80,0.19,1.0,4,192,4,0,1,0,accounting,low
81,0.72,0.79,4,192,4,0,0,0,sales,low
82,0.25,0.98,4,166,5,1,0,0,technical,low
83,0.99,0.97,3,257,2,0,0,0,marketing,medium
84,0.65,0.85,4,201,10,0,0,0,support,low
85,1.0,0.59,3,253,3,0,0,0,support,low
86,0.93,0.87,4,218,4,0,0,0,technical,medium
87,0.8,0.97,4,259,2,0,0,0,support,low
88,0.84,0.59,3,234,3,1,0,0,sales,medium
89,1.0,0.68,3,132,2,0,0,0,sales,medium
90,0.98,0.53,5,186,3,0,0,0,marketing,low
91,0.8,0.51,4,213,3,0,0,0,sales,medium
92,0.93,0.95,5,176,6,0,0,1,accounting,medium
93,0.6,0.81,3,226,2,0,0,0,sales,medium
94,0.49,0.48,3,190,2,0,0,0,technical,medium
95,0.97,0.97,4,242,2,0,0,0,accounting,medium
96,0.19,0.83,5,280,4,0,0,0,RandD,low
97,0.54,0.59,4,228,3,0,0,0,IT,medium
98,0.37,0.51,2,153,3,0,0,0,IT,high
99,0.29,0.77,3,152,3,1,0,0,technical,low
100,0.97,0.63,3,133,3,0,0,0,hr,low
101,0.49,0.36,2,192,3,0,0,0,sales,low
102,0.94,0.55,3,160,3,0,0,0,sales,low
103,0.75,0.61,5,173,4,0,0,0,sales,low
104,0.57,0.94,4,257,3,0,0,0,marketing,medium
105,0.88,0.75,4,201,2,0,0,0,sales,medium
106,0.39,0.5,2,142,3,0,1,0,hr,medium
107,0.16,0.9,6,213,2,0,0,0,IT,medium
108,0.9,0.62,4,258,3,0,0,0,technical,medium
109,0.88,0.8,3,133,3,0,0,0,product_mng,medium
110,0.73,0.99,5,262,5,0,1,0,product_mng,medium
111,0.88,0.52,4,166,2,0,0,0,technical,low
112,0.77,0.86,3,101,5,0,0,0,IT,low
113,0.96,0.49,5,137,3,0,0,0,hr,medium
114,0.68,0.54,4,153,3,0,0,0,product_mng,medium
115,0.84,0.91,4,207,3,0,0,0,support,low
116,0.9,0.48,3,213,3,0,0,0,support,low
117,0.62,0.72,2,180,2,1,0,0,technical,low
118,0.48,0.42,2,275,6,1,0,1,hr,medium
119,0.68,0.51,4,224,2,0,0,0,technical,low
120,0.11,0.89,6,293,4,0,1,0,support,low
121,0.1,0.81,6,309,4,0,1,0,technical,low
122,0.96,0.6,5,182,5,0,0,0,sales,medium
123,0.09,0.87,5,263,4,0,1,0,IT,low
124,0.54,0.61,3,182,2,0,0,0,sales,low
125,0.24,0.62,6,225,6,0,0,0,sales,low
126,0.59,0.39,4,190,5,0,0,0,sales,medium
127,0.74,0.99,5,146,2,0,0,0,sales,low
128,0.97,0.84,4,177,6,0,0,0,technical,low
129,0.81,0.87,4,161,2,0,0,0,RandD,medium
130,0.54,0.94,4,217,2,0,0,0,support,medium
131,0.78,0.83,4,158,3,0,0,0,IT,high
132,0.8,0.93,3,225,4,0,0,0,product_mng,low
133,0.94,0.53,4,183,3,0,0,0,IT,medium
134,0.43,0.51,2,155,3,0,1,0,technical,medium
135,0.73,0.89,5,223,3,0,0,0,sales,low
136,0.83,0.82,5,179,3,0,0,0,technical,low
137,0.69,0.76,5,255,6,0,0,0,technical,low
138,0.6,0.79,5,217,2,0,0,0,sales,low
139,0.62,0.94,4,252,4,0,0,0,accounting,low
140,0.48,0.79,3,180,2,0,0,0,technical,medium
141,0.53,0.46,2,167,2,0,0,0,RandD,medium
142,0.93,0.73,4,283,7,0,0,0,sales,high
143,0.8,0.94,4,136,2,0,0,0,hr,medium
144,0.77,0.59,4,273,2,0,0,0,IT,high
145,0.94,0.68,5,151,2,0,0,0,RandD,medium
146,0.53,0.61,4,182,3,0,0,0,technical,low
147,0.11,0.9,5,307,4,0,1,0,support,low
148,0.5,0.4,3,180,4,0,0,0,sales,medium
149,0.1,0.87,6,307,4,0,1,0,product_mng,high
150,0.72,0.39,5,111,5,0,0,0,support,low
151,0.97,0.97,5,192,2,0,0,0,sales,low
152,0.93,0.63,4,233,2,0,0,0,sales,low
153,0.36,0.61,4,166,4,0,0,0,technical,low
154,0.71,0.77,3,193,3,1,0,0,accounting,low
155,0.55,0.73,4,201,3,0,0,0,sales,low
156,0.7,0.58,4,207,2,1,0,0,sales,medium
157,0.28,0.7,2,164,4,0,0,0,IT,medium
158,0.24,0.87,4,262,3,0,0,0,technical,low
159,0.17,0.83,6,195,5,0,0,0,support,high
160,1.0,0.88,4,240,4,0,0,0,sales,medium
161,0.13,0.87,3,185,4,1,0,0,management,low
162,0.52,1.0,4,148,3,0,0,0,RandD,medium
163,0.1,0.83,6,264,4,1,1,0,sales,medium
164,0.62,0.64,4,142,2,0,0,0,technical,low
165,0.71,0.87,3,177,4,0,1,0,hr,medium
166,0.58,0.61,2,191,3,1,0,0,management,low
167,0.1,0.82,6,266,4,0,1,0,IT,low
168,0.74,1.0,5,222,6,0,1,0,accounting,low
169,0.38,0.67,2,117,3,0,0,0,technical,low
170,0.62,0.77,3,271,2,0,0,0,sales,medium
171,0.39,0.5,2,136,3,0,1,0,management,low
172,0.8,0.9,4,136,3,0,0,0,technical,low
173,0.89,0.66,3,272,3,0,0,0,RandD,medium
174,0.4,0.48,2,142,3,0,1,0,support,low
175,0.86,0.99,3,169,2,1,0,0,sales,low
176,0.95,0.63,3,249,3,0,0,0,management,low
177,0.4,0.5,2,127,3,0,1,0,IT,low
178,0.22,0.91,6,222,8,0,0,0,technical,low
179,0.72,0.95,5,171,3,0,0,0,support,low
180,0.58,0.86,4,257,3,0,0,0,sales,low
181,0.52,0.51,3,213,4,0,0,0,support,low
182,0.71,0.59,4,143,2,0,0,0,hr,medium
183,0.8,0.94,4,271,4,0,0,1,sales,medium
184,0.57,0.75,4,151,2,0,0,0,sales,medium
185,0.79,0.86,5,238,8,0,0,0,sales,low
186,0.09,0.86,7,309,4,0,1,0,technical,low
187,0.7,0.44,2,131,2,0,0,0,sales,low
188,0.85,0.98,5,248,5,0,1,0,product_mng,medium
189,0.1,0.85,6,297,5,0,1,0,sales,high
190,0.79,0.48,4,178,2,0,0,0,technical,low
191,0.7,0.62,3,110,3,0,0,0,product_mng,low
192,0.58,0.85,4,162,3,0,0,0,sales,medium
193,0.45,0.46,2,153,3,0,1,0,management,low
194,0.1,0.79,6,256,5,0,1,0,support,low
195,0.87,0.68,5,236,4,0,0,0,sales,high
196,0.7,0.71,5,269,3,0,0,0,technical,low
197,0.59,0.65,4,177,2,0,0,0,product_mng,low
198,0.76,0.76,3,216,3,0,0,0,sales,low
199,0.68,0.71,4,206,2,0,0,0,hr,medium
200,0.85,0.96,4,240,6,0,0,0,technical,medium
201,0.84,0.61,4,261,2,0,0,0,accounting,high
202,0.91,0.89,4,260,3,0,0,0,sales,low
203,0.94,0.89,2,118,4,0,0,0,support,medium
204,0.11,0.8,7,296,4,0,1,0,sales,low
205,0.85,0.73,4,174,3,0,0,0,support,low
206,0.4,0.46,2,144,3,0,1,0,RandD,low
